#ppc        sigma_k (CMFD)      sigma_k (HCMFD)
400000      0.00042             0.00053 
350000      0.00057             0.00047
300000      0.00067             0.00053
250000      0.00065             0.00072
200000      0.00072             0.00070     
150000      0.00098             0.00066
125000      0.00086             0.00105
100000      0.01526             0.00092
75000       0.00128             0.00221
60000       0.00136             0.00129
50000       1e30                0.12503
40000       0.12978             0.04718
